stationcode,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant,positionname,area
3400A,2024-11-06T1300,109.1911,21.4415,41,50,0.7,7,9,129,97,58,细颗粒物(PM2.5),龙潭自来水厂,北海市
1001A,2024-11-06T1300,116.3621,39.8784,43,83,0.8,50,7,29,10,67,颗粒物(PM10),万寿西宫,北京市
1002A,2024-11-06T1300,116.2202,40.2915,20,34,0.5,21,6,49,19,34,—,定陵,北京市
1003A,2024-11-06T1300,116.4174,39.9289,43,90,0.8,48,10,28,12,70,颗粒物(PM10),东四,北京市
1004A,2024-11-06T1300,116.4072,39.8863,53,85,0.8,51,6,27,9,73,细颗粒物(PM2.5),天坛,北京市
1005A,2024-11-06T1300,116.462,39.9365,42,88,0.8,53,7,24,9,69,颗粒物(PM10),农展馆,北京市
1006A,2024-11-06T1300,116.3392,39.9295,42,83,0.8,47,10,28,9,67,颗粒物(PM10),官园,北京市
1007A,2024-11-06T1300,116.2878,39.9611,36,75,0.7,39,7,31,15,63,颗粒物(PM10),海淀万柳,北京市
1008A,2024-11-06T1300,116.6636,40.135,30,55,0.6,27,6,44,20,53,颗粒物(PM10),顺义新城,北京市
1009A,2024-11-06T1300,116.6275,40.3275,20,37,0.3,21,8,55,35,37,—,怀柔镇,北京市
1010A,2024-11-06T1300,116.2296,40.217,24,55,0.5,26,10,40,17,53,颗粒物(PM10),昌平镇,北京市
1011A,2024-11-06T1300,116.3966,39.9821,46,101,1.1,55,6,21,9,76,颗粒物(PM10),奥体中心,北京市
1012A,2024-11-06T1300,116.184,39.9136,32,76,0.8,36,7,35,18,63,颗粒物(PM10),古城,北京市
3281A,2024-11-06T1300,115.9718,40.4529,18,31,0.2,19,1,43,19,31,—,延庆夏都,北京市
3417A,2024-11-06T1300,117.0709,40.1465,17,36,0.5,18,5,52,25,36,—,平谷新城,北京市
3418A,2024-11-06T1300,116.8336,40.4095,17,39,0.4,16,5,54,26,39,—,密云新城,北京市
3671A,2024-11-06T1300,116.088,39.9726,17,50,0.4,36,7,42,30,50,—,门头沟三家店,北京市
3672A,2024-11-06T1300,116.1541,39.8204,28,61,0.5,42,5,30,15,56,颗粒物(PM10),丰台云岗,北京市
3673A,2024-11-06T1300,116.6804,39.9081,38,76,0.8,33,7,38,15,63,颗粒物(PM10),通州东关,北京市
3674A,2024-11-06T1300,115.9577,39.7603,18,44,0.3,24,2,42,27,44,—,房山燕山,北京市
3675A,2024-11-06T1300,116.4672,39.7733,46,85,0.6,42,3,31,12,68,颗粒物(PM10),大兴旧宫,北京市
3694A,2024-11-06T1300,115.986,40.4563,16,31,0.3,23,3,38,17,31,—,延庆石河营,北京市
3695A,2024-11-06T1300,116.6151,40.3053,22,38,0.5,21,5,45,36,38,—,怀柔新城,北京市
3696A,2024-11-06T1300,116.2545,39.8768,40,90,0.8,54,6,26,10,70,颗粒物(PM10),丰台小屯,北京市
3697A,2024-11-06T1300,116.84,40.3844,18,39,0.4,15,3,49,17,39,—,密云镇,北京市
1761A,2024-11-06T1300,123.8275,41.3064,13,14,0.5,10,11,59,29,19,—,大峪,本溪市
1762A,2024-11-06T1300,123.7567,41.3325,3,20,0.4,7,9,67,34,21,—,溪湖,本溪市
1763A,2024-11-06T1300,123.7169,41.3094,9,11,0.5,9,7,64,32,20,—,彩屯,本溪市
1764A,2024-11-06T1300,123.7669,41.2864,3,—,0.5,10,9,64,33,20,—,东明,本溪市
