area,positionname,timepoint,longitude,latitude,pm2_5,pm10,co,no2,so2,o3,o3_8h,aqi,primarypollutant
北京市,定陵,2024-11-06T1500,116.2202,40.2915,21,37,0.5,24,4,31,24,37,
北京市,东四,2024-11-06T1500,116.4174,39.9289,38,77,0.6,38,8,45,22,64,颗粒物(PM10)
北京市,天坛,2024-11-06T1500,116.4072,39.8863,46,75,0.5,43,4,42,19,64,细颗粒物(PM2.5)
北京市,农展馆,2024-11-06T1500,116.462,39.9365,43,76,0.6,42,4,46,20,63,颗粒物(PM10)
北京市,官园,2024-11-06T1500,116.3392,39.9295,,,,,,,15,,
北京市,海淀万柳,2024-11-06T1500,116.2878,39.9611,39,76,0.5,36,6,46,24,63,颗粒物(PM10)
北京市,顺义新城,2024-11-06T1500,116.6636,40.135,27,48,0.6,30,5,48,32,48,
北京市,怀柔镇,2024-11-06T1500,116.6275,40.3275,19,36,0.2,20,5,61,42,36,
北京市,昌平镇,2024-11-06T1500,116.2296,40.217,27,61,0.5,34,8,44,27,56,颗粒物(PM10)
北京市,奥体中心,2024-11-06T1500,116.3966,39.9821,47,96,0.8,41,4,41,18,73,颗粒物(PM10)
北京市,古城,2024-11-06T1500,116.184,39.9136,43,88,0.8,35,7,50,28,69,颗粒物(PM10)
北京市,延庆夏都,2024-11-06T1500,115.9718,40.4529,17,30,0.2,19,1,48,28,30,
北京市,平谷新城,2024-11-06T1500,117.0709,40.1465,16,31,0.4,16,3,61,38,31,
北京市,密云新城,2024-11-06T1500,116.8336,40.4095,17,38,0.3,16,3,59,37,38,
北京市,门头沟三家店,2024-11-06T1500,116.088,39.9726,33,75,0.5,45,8,50,35,63,颗粒物(PM10)
北京市,丰台云岗,2024-11-06T1500,116.1541,39.8204,43,80,0.4,35,6,50,26,65,颗粒物(PM10)
北京市,通州东关,2024-11-06T1500,116.6804,39.9081,39,74,0.5,30,5,55,28,62,颗粒物(PM10)
北京市,房山燕山,2024-11-06T1500,115.9577,39.7603,36,71,0.4,32,4,49,34,61,颗粒物(PM10)
北京市,大兴旧宫,2024-11-06T1500,116.4672,39.7733,45,79,0.3,44,2,43,22,65,颗粒物(PM10)
北京市,延庆石河营,2024-11-06T1500,115.986,40.4563,14,31,0.3,22,3,45,27,31,
北京市,怀柔新城,2024-11-06T1500,116.6151,40.3053,20,33,0.3,22,3,53,39,33,
北京市,丰台小屯,2024-11-06T1500,116.2545,39.8768,43,88,0.5,45,5,37,18,69,颗粒物(PM10)
北京市,密云镇,2024-11-06T1500,116.84,40.3844,17,40,0.4,16,3,54,31,40,
本溪市,大峪,2024-11-06T1500,123.8275,41.3064,13,,0.4,9,11,65,43,21,
本溪市,溪湖,2024-11-06T1500,123.7567,41.3325,7,21,0.3,8,8,70,49,22,
本溪市,彩屯,2024-11-06T1500,123.7169,41.3094,12,14,0.5,13,7,63,45,20,
本溪市,东明,2024-11-06T1500,123.7669,41.2864,3,15,0.4,10,8,69,50,22,
本溪市,新立屯,2024-11-06T1500,123.7992,41.2664,16,,0.6,13,5,63,54,,
本溪市,威宁,2024-11-06T1500,123.8142,41.3472,3,15,0.6,7,8,68,44,22,
毕节市,八中,2024-11-06T1500,105.2864,27.3125,39,51,,14,9,73,58,,
毕节市,师专,2024-11-06T1500,105.31,27.2944,36,42,0.6,14,10,77,57,52,细颗粒物(PM2.5)
毕节市,长征村,2024-11-06T1500,105.3631,27.3533,40,48,0.7,13,15,88,68,57,细颗粒物(PM2.5)
滨州市,第二水厂,2024-11-06T1500,118.0018,37.3617,14,39,0.4,19,12,84,50,39,
滨州市,北中新校,2024-11-06T1500,117.9776,37.393,14,34,0.4,22,10,93,53,34,
滨州市,中海酒店,2024-11-06T1500,117.9378,37.3956,27,46,0.5,21,14,113,67,46,
滨州市,开发区一中,2024-11-06T1500,117.9378,37.3553,19,53,0.5,23,15,102,62,52,颗粒物(PM10)
滨州市,金海六路,2024-11-06T1500,118.0917,37.694,12,41,0.3,,9,,46,,
滨州市,滨州市西街道办事处,2024-11-06T1500,117.9956,37.3753,17,29,0.5,22,10,,52,,
亳州市,污水处理厂,2024-11-06T1500,115.8072,33.8399,21,54,0.4,14,8,118,74,52,颗粒物(PM10)
亳州市,三国揽胜宫,2024-11-06T1500,115.7789,33.8518,30,56,0.4,12,5,117,71,53,颗粒物(PM10)
亳州市,亳州学院,2024-11-06T1500,115.7633,33.8034,14,52,0.3,14,6,119,75,51,颗粒物(PM10)
博尔塔拉蒙古自治州,市党校,2024-11-06T1500,82.0485,44.8556,38,66,0.6,25,21,28,22,58,颗粒物(PM10)
博尔塔拉蒙古自治州,市环保局,2024-11-06T1500,82.0806,44.8969,32,66,0.4,26,7,34,29,58,颗粒物(PM10)
沧州市,沧县城建局,2024-11-06T1500,116.8842,38.2991,23,49,0.4,28,5,84,48,49,
沧州市,电视转播站,2024-11-06T1500,116.8584,38.3254,22,44,0.4,15,7,93,6,44,
沧州市,市环保局,2024-11-06T1500,116.8709,38.3228,,,,,,,32,,
沧州市,河北水利电力学院,2024-11-06T1500,116.8136,38.3004,23,44,0.2,11,7,92,52,44,
昌都市,昌都监测站,2024-11-06T1500,97.1806,31.1273,3,7,0.6,6,8,82,55,26,
昌都市,昌都会议中心,2024-11-06T1500,97.1714,31.1406,3,9,0.4,4,7,87,60,28,
昌吉回族自治州,天山天池,2024-11-06T1500,88.1236,43.8886,3,9,0.5,5,9,93,73,30,
昌吉回族自治州,新区政务中心,2024-11-06T1500,87.2717,44.0297,54,110,0.7,38,10,,26,,
昌吉回族自治州,亚心广场,2024-11-06T1500,87.3095,44.0142,63,117,0.8,40,8,71,26,85,细颗粒物(PM2.5)
长春市,食品厂,2024-11-06T1500,125.3325,43.9166,11,22,0.2,17,7,51,37,22,
长春市,客车厂,2024-11-06T1500,125.2863,43.9027,15,,0.0,14,8,54,43,22,
长春市,邮电学院,2024-11-06T1500,125.2841,43.8463,11,20,0.2,12,9,58,42,20,
长春市,劳动公园,2024-11-06T1500,125.3716,43.8772,11,20,0.5,11,10,62,46,20,
长春市,园林处,2024-11-06T1500,125.3297,43.8805,13,22,0.3,10,8,53,42,22,
长春市,净月潭,2024-11-06T1500,125.4605,43.79,9,13,0.3,7,7,57,44,18,
长春市,甩湾子,2024-11-06T1500,125.7194,43.515,7,10,0.7,7,6,47,34,15,
长春市,经开区环卫处,2024-11-06T1500,125.3863,43.8447,10,18,0.4,14,11,55,42,18,
长春市,高新区管委会,2024-11-06T1500,125.245,43.7783,8,28,0.4,10,7,57,43,28,
长春市,岱山公园,2024-11-06T1500,125.1761,43.8325,12,17,0.3,8,6,55,38,18,
长沙市,经开区环保局,2024-11-06T1500,113.0833,28.2325,45,79,0.5,17,4,162,98,65,颗粒物(PM10)
